en,ch
standup4brexit,"The brexit campaign only emerged in August 2018. Opposed to Mrs May's brexit deal as a betrayal and compromise, hardcore brexiters have again called for the original declaration to be upheld."
stopbrexit,The question of remaining in the eu emerged after the referendum.
stoptheeu,"The brexit issue before the referendum, the issue disappeared after the referendum."
strongerin,"The slogan of the remain campaign led by former prime minister David Cameron during the referendum campaign. With the referendum defeated and the remain campaign disbanded, the subject has faded. Interestingly, before the referendum, many brexiteers also used this topic to argue with the remain side. The appearance of a large number of brexiteers' words diluted the remain tone of this topic, leading our algorithm to calculate a result that could only be considered as partial remain."
takecontrol,"The official brexit campaign slogan of the referendum campaign claimed that the eu had stripped Britain of its sovereignty. With the victory of the referendum and the dissolution of the official campaign, the topic gradually disappeared."
theresamay,British prime minister.
tories,"The governing parties, David Cameron and Theresa may, are both conservatives. But the party is split between those who want to leave and those who want to remain, and those who oppose Mr Cameron and then Mrs May are ""enemies from within"". The split of the conservative party is both a microcosm of the split in British society and an obstacle to the brexit process."
trump,The President of the United States. Support brexit.
voteleave,"The pro-brexit camp was also split into two factions before the referendum, with the official camp known as the ""vote leave"" - which focused on the ""economic"" and ""sovereignty"" CARDS. On the other side is the unofficial ""leave"" camp, which focuses on the ""immigration"" card and is more critical of alleged racism."
voteout,"As opposed to ""stay in"", it appears almost simultaneously and also rises to almost fever. But the leave campaign won in the referendum, ending the ""leave"" campaign and continuing the long fight."
voteremain,"It is almost the opposite of ""throw away"", appearing almost at the same time and rising to almost the same heat. But the leave campaign won in the referendum, ending the ""leave"" campaign and continuing the long fight."
waton,Came out after the referendum to force remain.
windrush,"After the second world war, Britain shipped about half a million migrant workers from African and Caribbean countries on the empire gale to make up for a shortage of domestic labor. Immigration has been tightened in recent years, with members of the windswept generation deemed illegal. The political scandal was revealed in 2018, bringing abuse to the ruling conservative party and prompting repeated apologies from the prime minister and home secretary. The incident reflects the sensitivity of British society to the issue of immigration in the post-referendum era. On the one hand, anti-immigrant sentiment is on the rise, and on the other hand, society is more sensitive to the protection of immigrant rights."
yeseu,The question of remaining in the eu emerged after the referendum.
